priority	object_id
CRITICAL	OBJ0021
CRITICAL	OBJ0020
CRITICAL	OBJ0002
CRITICAL	OBJ0001
CRITICAL	OBJ0025
DECOMMISSION	OBJ0023
DECOMMISSION	OBJ0024
DECOMMISSION	OBJ0022
DECOMMISSION	OBJ0015
DECOMMISSION	OBJ0017
DECOMMISSION	OBJ0016
DECOMMISSION	OBJ0013
DECOMMISSION	OBJ0014
DECOMMISSION	OBJ0019
DECOMMISSION	OBJ0010
DECOMMISSION	OBJ0011
DECOMMISSION	OBJ0009
DECOMMISSION	OBJ0012
DECOMMISSION	OBJ0005
DECOMMISSION	OBJ0008
DECOMMISSION	OBJ0007
DECOMMISSION	OBJ0006
DECOMMISSION	OBJ0003
HIGH	OBJ0018
HIGH	OBJ0004
